H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
0.0628,0.676,0.6132,0.0642,0.2537,0.1895,0.0647,0.9258,0.8611,0.0985,2.1108,2.0123,0.0652,1.191,1.1258,0.0679,0.9008,0.8329,0.057,0.2988,0.2418,0.0655,0.8757,0.8102,0.0605,0.831,0.7705,0.0607,1.0383,0.9776,0.0895
0.0518,1.069,1.0172,0.0597,0.678,0.6183,0.0523,0.2363,0.184,0.0824,1.3456,1.2632,0.0562,1.4341,1.3779,0.0684,0.8113,0.7429,0.0533,0.2671,0.2138,0.0808,0.2458,0.165,0.0568,1.2078,1.151,0.0797,0.9813,0.9016,0.0797
0.0562,1.3375,1.2813,0.0499,0.3793,0.3294,0.0383,0.2273,0.189,0.0652,1.516,1.4508,0.0552,1.4481,1.3929,0.0605,1.1174,1.0569,0.0462,0.2125,0.1663,0.0731,0.431,0.3579,0.0486,0.4816,0.433,0.0525,0.8282,0.7757,0.0631
0.046,0.5399,0.4939,0.0504,0.3272,0.2768,0.037,0.2138,0.1768,0.0531,1.4715,1.4184,0.052,1.0495,0.9975,0.0562,0.9447,0.8885,0.0436,0.5873,0.5437,0.0626,0.5619,0.4993,0.0541,0.5755,0.5214,0.0615,1.8579,1.7964,0.0697
0.0446,0.5918,0.5472,0.043,0.2995,0.2565,0.0357,0.1859,0.1502,0.075,1.6591,1.5841,0.0407,0.9457,0.905,0.0715,1.5099,1.4384,0.0504,0.2207,0.1703,0.0763,0.2387,0.1624,0.0449,0.4471,0.4022,0.0388,1.1824,1.1436,0.0491
0.0462,0.4689,0.4227,0.0531,0.4996,0.4465,0.0544,0.1948,0.1404,0.1085,0.9843,0.8758,0.052,1.2126,1.1606,0.0504,0.8735,0.8231,0.0465,0.2569,0.2104,0.0927,0.4345,0.3418,0.051,1.1472,1.0962,0.0423,0.6916,0.6493,0.0597
0.042,0.4248,0.3828,0.0433,0.251,0.2077,0.0354,0.1684,0.133,0.0737,1.1292,1.0555,0.0465,0.9338,0.8873,0.0673,0.8962,0.8289,0.0494,0.4327,0.3833,0.0681,0.2341,0.166,0.047,4.0252,3.9782,0.0668,0.7834,0.7166,0.0774
0.0475,0.4849,0.4374,0.0502,0.4278,0.3776,0.0518,0.2218,0.17,0.0839,1.155,1.0711,0.0425,1.2469,1.2044,0.0549,0.7315,0.6766,0.0462,0.2403,0.1941,0.08,0.2677,0.1877,0.051,0.4289,0.3779,0.0752,0.8179,0.7427,0.0752
0.0779,0.7988,0.7209,0.0449,0.4426,0.3977,0.042,0.1518,0.1098,0.1045,1.236,1.1315,0.0394,0.6309,0.5915,0.0512,0.9901,0.9389,0.038,0.1996,0.1616,0.0932,0.3017,0.2085,0.0541,0.5663,0.5122,0.0676,0.833,0.7654,0.0697
0.037,0.4781,0.4411,0.0436,0.2714,0.2278,0.0433,0.1972,0.1539,0.0818,0.8906,0.8088,0.0489,0.6161,0.5672,0.0565,1.0446,0.9881,0.0452,0.2435,0.1983,0.0937,0.2611,0.1674,0.0518,0.4292,0.3774,0.0523,0.7515,0.6992,0.0747
0.0525,0.5398,0.4873,0.0483,0.3151,0.2668,0.0401,1.0476,1.0075,0.1167,0.8878,0.7711,0.051,0.8438,0.7928,0.0504,0.9886,0.9382,0.0357,0.3266,0.2909,0.0892,0.2579,0.1687,0.0523,0.7452,0.6929,0.0504,1.0087,0.9583,0.0531
0.0394,0.4293,0.3899,0.0388,0.2824,0.2436,0.0312,0.1743,0.1431,0.0715,1.2716,1.2001,0.0481,1.0507,1.0026,0.0515,0.5165,0.465,0.0481,0.2685,0.2204,0.0995,0.1832,0.0837,0.0449,0.4288,0.3839,0.0504,1.4449,1.3945,0.0544
0.047,0.5277,0.4807,0.0489,0.3978,0.3489,0.0246,0.373,0.3484,0.0966,0.9793,0.8827,0.042,1.4971,1.4551,0.0549,0.4236,0.3687,0.0444,0.254,0.2096,0.0966,0.202,0.1054,0.0491,0.3658,0.3167,0.0541,0.9259,0.8718,0.0628
0.0489,0.4642,0.4153,0.0478,0.2592,0.2114,0.0372,0.1797,0.1425,0.1132,1.0774,0.9642,0.0467,0.8537,0.807,0.0515,0.3927,0.3412,0.0417,0.1722,0.1305,0.0979,0.1452,0.0473,0.0441,0.3196,0.2755,0.0449,0.5921,0.5472,0.0425
0.0523,0.7832,0.7309,0.0428,0.3215,0.2787,0.0407,0.2642,0.2235,0.0808,1.6525,1.5717,0.0565,1.1686,1.1121,0.0549,0.8004,0.7455,0.051,0.2472,0.1962,0.0858,0.1951,0.1093,0.0478,0.9067,0.8589,0.0515,1.2484,1.1969,0.0305
0.056,0.6235,0.5675,0.0489,0.3263,0.2774,0.0409,0.2771,0.2362,0.0792,1.5163,1.4371,0.0491,1.5805,1.5314,0.0586,0.4981,0.4395,0.0507,0.3901,0.3394,0.0816,0.2521,0.1705,0.0423,0.3418,0.2995,0.0452,1.0138,0.9686,0.0818
0.0454,0.5061,0.4607,0.0462,0.2711,0.2249,0.0401,0.1826,0.1425,0.1114,1.1421,1.0307,0.0504,1.0094,0.959,0.0518,0.4279,0.3761,0.0486,0.2086,0.16,0.089,0.159,0.07,0.0454,0.3412,0.2958,0.0423,0.6776,0.6353,0.0515
0.0486,0.4045,0.3559,0.0504,0.298,0.2476,0.0383,0.1777,0.1394,0.0958,0.9297,0.8339,0.0491,0.7538,0.7047,0.0531,0.3648,0.3117,0.0438,0.2392,0.1954,0.1088,0.4197,0.3109,0.0507,0.3177,0.267,0.0394,0.6177,0.5783,0.0544
0.056,0.5019,0.4459,0.0436,0.4933,0.4497,0.0581,0.2571,0.199,0.1093,1.0165,0.9072,0.0452,0.6403,0.5951,0.0494,0.4904,0.441,0.0465,0.1822,0.1357,0.1056,0.2228,0.1172,0.0454,0.2919,0.2465,0.042,0.6462,0.6042,0.0684
0.0483,0.4823,0.434,0.047,0.288,0.241,0.0391,0.2634,0.2243,0.1219,0.989,0.8671,0.0525,0.5175,0.465,0.0512,0.3526,0.3014,0.0404,0.2033,0.1629,0.1008,0.155,0.0542,0.0475,0.324,0.2765,0.0489,1.06,1.0111,0.0623
0.0489,0.4761,0.4272,0.046,0.2756,0.2296,0.0404,0.208,0.1676,0.1154,0.9458,0.8304,0.0438,0.6722,0.6284,0.0481,0.3287,0.2806,0.0404,0.1917,0.1513,0.1059,0.1701,0.0642,0.0478,0.3273,0.2795,0.0475,1.0607,1.0132,0.0834
0.0573,0.6671,0.6098,0.0444,0.2885,0.2441,0.0489,0.2197,0.1708,0.1193,0.9629,0.8436,0.0478,0.5657,0.5179,0.0536,0.3838,0.3302,0.0444,0.178,0.1336,0.0892,0.1573,0.0681,0.0465,0.3566,0.3101,0.0489,0.6048,0.5559,0.0686
0.0502,0.438,0.3878,0.0499,0.2566,0.2067,0.0446,0.2233,0.1787,0.109,0.9843,0.8753,0.0536,0.5023,0.4487,0.0409,0.9522,0.9113,0.0489,0.8391,0.7902,0.1003,0.3067,0.2064,0.0642,0.6379,0.5737,0.0504,2.3368,2.2864,0.0771
0.0581,0.4153,0.3572,0.0576,0.2677,0.2101,0.0444,0.222,0.1776,0.1122,0.9376,0.8254,0.0525,0.4817,0.4292,0.0502,0.3411,0.2909,0.0375,0.1951,0.1576,0.0995,0.4051,0.3056,0.0557,0.4763,0.4206,0.0478,1.2555,1.2077,0.0821
0.0589,0.4372,0.3783,0.0473,0.2685,0.2212,0.0409,0.1871,0.1462,0.1172,0.9532,0.836,0.0486,0.5897,0.5411,0.0539,1.0649,1.011,0.0446,0.2458,0.2012,0.1027,0.3202,0.2175,0.0531,0.4872,0.4341,0.0475,1.0686,1.0211,0.0832
0.0491,0.4303,0.3812,0.0433,0.2732,0.2299,0.0417,0.208,0.1663,0.089,1.0292,0.9402,0.0528,0.6981,0.6453,0.0586,0.9417,0.8831,0.052,0.249,0.197,0.0887,0.2423,0.1536,0.0533,0.5541,0.5008,0.0515,0.9417,0.8902,0.0576
0.0515,0.3845,0.333,0.0478,0.2692,0.2214,0.0475,0.2985,0.251,0.1124,1.036,0.9236,0.0528,1.7947,1.7419,0.0539,0.3675,0.3136,0.0396,0.1872,0.1476,0.0971,0.1592,0.0621,0.0444,0.4334,0.389,0.0486,0.5034,0.4548,0.0763
