H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
0.077,0.1286,0.0516,0.0855,0.1074,0.0219,0.0588,0.0834,0.0246,0.0686,0.5965,0.5279,0.067,0.4292,0.3622,0.0979,0.4592,0.3613,0.1013,0.1156,0.0143,0.1081,0.1026,-0.0055,0.0979,0.1765,0.0786,0.086,0.3525,0.2665,0.0958
0.0881,0.2038,0.1157,0.0733,0.0762,0.0029,0.0602,0.1045,0.0443,0.0731,0.7189,0.6458,0.0678,0.421,0.3532,0.1053,0.1765,0.0712,0.0673,0.0914,0.0241,0.0937,0.0921,-0.0016,0.0961,0.1444,0.0483,0.0718,0.1796,0.1078,0.0823
0.0525,0.2165,0.164,0.1055,0.0968,-0.0087,0.0612,0.1171,0.0559,0.077,0.3898,0.3128,0.1142,0.522,0.4078,0.1032,0.1399,0.0367,0.0863,0.0927,0.0064,0.109,0.0992,-0.0098,0.0792,0.1559,0.0767,0.0683,0.1993,0.131,0.0726
0.081,0.1801,0.0991,0.0839,0.0871,0.0032,0.0631,0.1164,0.0533,0.0731,0.3708,0.2977,0.0868,0.4229,0.3361,0.1222,0.1312,0.009,0.0898,0.0679,-0.0219,0.0995,0.1117,0.0122,0.082,0.1197,0.0377,0.0868,0.6365,0.5497,0.114
0.0926,0.2671,0.1745,0.0849,0.0918,0.0069,0.0588,0.0868,0.028,0.0789,0.5412,0.4623,0.0987,0.4211,0.3224,0.1011,0.152,0.0509,0.1082,0.0758,-0.0324,0.113,0.1072,-0.0058,0.0892,0.1319,0.0427,0.1203,0.2468,0.1265,0.0873
0.0865,0.1112,0.0247,0.0878,0.1237,0.0359,0.0573,0.0726,0.0153,0.0631,0.586,0.5229,0.0884,0.3838,0.2954,0.1169,0.1119,-0.005,0.172,0.0771,-0.0949,0.0987,0.0475,-0.0512,0.1074,0.2211,0.1137,0.0881,0.3955,0.3074,0.0704
0.0784,0.1118,0.0334,0.0797,0.1098,0.0301,0.0578,0.0657,0.0079,0.0697,0.4658,0.3961,0.0847,0.7701,0.6854,0.1103,0.1567,0.0464,0.167,0.123,-0.044,0.1042,0.0201,-0.0841,0.1219,0.1865,0.0646,0.0878,0.2008,0.113,0.1045
0.0815,0.1677,0.0862,0.076,0.0937,0.0177,0.0649,0.0942,0.0293,0.061,0.4043,0.3433,0.0902,0.4096,0.3194,0.096,0.0989,0.0029,0.1792,0.0887,-0.0905,0.0977,0.0104,-0.0873,0.1652,0.2034,0.0382,0.0873,0.1969,0.1096,0.0762
0.0929,0.1353,0.0424,0.0826,0.1167,0.0341,0.0504,0.0615,0.0111,0.0639,0.4159,0.352,0.0973,0.4932,0.3959,0.0987,0.108,0.0093,0.2039,0.0644,-0.1395,0.1037,0.0918,-0.0119,0.113,0.1755,0.0625,0.0876,0.1927,0.1051,0.0733
0.0876,0.1814,0.0938,0.0895,0.0863,-0.0032,0.0649,0.0963,0.0314,0.0628,0.2912,0.2284,0.0813,0.4432,0.3619,0.0887,0.1322,0.0435,0.1251,0.0581,-0.067,0.1808,0.2687,0.0879,0.0108,0.6031,0.5923,0.0765,0.1885,0.112,0.0826
0.0757,0.1344,0.0587,0.0755,0.1022,0.0267,0.0451,0.1018,0.0567,0.0723,0.749,0.6767,0.0913,0.4221,0.3308,0.0932,0.1391,0.0459,0.1042,0.0618,-0.0424,0.0995,0.0845,-0.015,0.1176,0.1914,0.0738,0.0971,0.2273,0.1302,0.0454
0.0966,0.0979,0.0013,0.0952,0.1377,0.0425,0.0467,0.0771,0.0304,0.0791,0.4103,0.3312,0.0905,0.4008,0.3103,0.1069,0.1541,0.0472,0.2425,0.0138,-0.2287,0.1063,0.2021,0.0958,0.1404,0.3595,0.2191,0.0981,0.2462,0.1481,0.0871
0.0971,0.1506,0.0535,0.0765,0.1111,0.0346,0.0522,0.0836,0.0314,0.0894,0.438,0.3486,0.0968,0.3646,0.2678,0.1266,0.4091,0.2825,0.0865,0.133,0.0465,0.1076,0.1153,0.0077,0.1071,0.1427,0.0356,0.0939,0.2243,0.1304,0.0828
0.0718,0.1184,0.0466,0.0781,0.1164,0.0383,0.0562,0.071,0.0148,0.0723,0.4154,0.3431,0.1248,0.4379,0.3131,0.0966,0.1301,0.0335,0.0863,0.0834,-0.0029,0.1149,0.1001,-0.0148,0.1269,0.1282,0.0013,0.0929,0.2181,0.1252,0.0757
0.0544,0.1168,0.0624,0.0857,0.1142,0.0285,0.0464,0.095,0.0486,0.067,0.6519,0.5849,0.1,0.4089,0.3089,0.1092,0.1572,0.048,0.066,0.0796,0.0136,0.1,0.1022,0.0022,0.1118,0.1179,0.0061,0.1158,0.2412,0.1254,0.0863
0.0897,0.1142,0.0245,0.0789,0.123,0.0441,0.0602,0.0684,0.0082,0.0549,0.3695,0.3146,0.0968,0.3968,0.3,0.109,0.1554,0.0464,0.1251,0.0323,-0.0928,0.1069,0.209,0.1021,0.1528,0.1337,-0.0191,0.1011,0.2489,0.1478,0.0836
0.0881,0.1468,0.0587,0.076,0.1095,0.0335,0.0583,0.0921,0.0338,0.0694,0.3597,0.2903,0.0884,0.4514,0.363,0.0505,0.0843,0.0338,0.1169,0.0642,-0.0527,0.1016,0.1201,0.0185,0.1121,0.1382,0.0261,0.1124,0.2273,0.1149,0.0873
0.1013,0.1205,0.0192,0.0757,0.1161,0.0404,0.0562,0.0723,0.0161,0.0636,0.3729,0.3093,0.101,0.3682,0.2672,0.1245,0.129,0.0045,0.1164,0.0953,-0.0211,0.1272,0.1362,0.009,0.1267,0.0934,-0.0333,0.1285,0.2439,0.1154,0.0929
0.0749,0.122,0.0471,0.0805,0.1061,0.0256,0.0681,0.0879,0.0198,0.061,0.3832,0.3222,0.1,0.3962,0.2962,0.0955,0.1311,0.0356,0.1306,0.0903,-0.0403,0.1187,0.1301,0.0114,0.139,0.1126,-0.0264,0.0958,0.1938,0.098,0.0781
0.1042,0.1447,0.0405,0.0873,0.1179,0.0306,0.0662,0.0757,0.0095,0.0765,0.2574,0.1809,0.0921,0.397,0.3049,0.1227,0.1578,0.0351,0.0781,0.0768,-0.0013,0.1388,0.1966,0.0578,0.1253,0.1585,0.0332,0.096,0.2858,0.1898,0.0847
0.0662,0.117,0.0508,0.081,0.1256,0.0446,0.0496,0.0583,0.0087,0.0689,0.3455,0.2766,0.1137,0.4212,0.3075,0.0968,0.12,0.0232,0.0971,0.0855,-0.0116,0.1222,0.1355,0.0133,0.1277,0.1094,-0.0183,0.1059,0.2247,0.1188,0.037
0.0966,0.1166,0.02,0.0823,0.1158,0.0335,0.0636,0.0805,0.0169,0.0628,0.2405,0.1777,0.1292,0.5441,0.4149,0.1079,0.1172,0.0093,0.0876,0.1085,0.0209,0.096,0.1282,0.0322,0.1807,0.2084,0.0277,0.0807,0.4988,0.4181,0.0934
0.096,0.1318,0.0358,0.0757,0.1287,0.053,0.0612,0.0739,0.0127,0.0718,1.3009,1.2291,0.0747,0.3517,0.277,0.1124,0.1596,0.0472,0.0945,0.0323,-0.0622,0.1124,0.1831,0.0707,0.11,0.1461,0.0361,0.0831,0.2056,0.1225,0.062
0.1016,0.1282,0.0266,0.0863,0.1246,0.0383,0.0491,0.0721,0.023,0.061,0.5011,0.4401,0.0781,0.3918,0.3137,0.1103,0.1354,0.0251,0.0955,0.0652,-0.0303,0.1156,0.1579,0.0423,0.1229,0.1168,-0.0061,0.1013,0.2109,0.1096,0.0641
0.0773,0.1231,0.0458,0.1053,0.1067,0.0014,0.0628,0.2569,0.1941,0.0926,0.5348,0.4422,0.0871,0.4274,0.3403,0.0774,0.1241,0.0467,0.0979,0.0315,-0.0664,0.0902,0.2163,0.1261,0.1129,0.1118,-0.0011,0.0995,0.2568,0.1573,0.0599
0.0718,0.0957,0.0239,0.0765,0.1314,0.0549,0.0441,0.0958,0.0517,0.0536,0.5554,0.5018,0.0979,0.4058,0.3079,0.1045,0.1847,0.0802,0.0913,0.0051,-0.0862,0.0961,0.5458,0.4497,0.0831,0.1896,0.1065,0.0934,0.2196,0.1262,0.0731
0.0718,0.163,0.0912,0.0815,0.1069,0.0254,0.0486,0.099,0.0504,0.0575,0.4831,0.4256,0.1063,0.4018,0.2955,0.1087,0.1923,0.0836,0.086,0.122,0.036,0.1021,0.1111,0.009,0.1039,0.1316,0.0277,0.0944,0.2072,0.1128,0.0718
0.0886,0.131,0.0424,0.0868,0.1243,0.0375,0.0633,0.0852,0.0219,0.0641,0.4069,0.3428,0.081,0.8648,0.7838,0.1367,0.1708,0.0341,0.0947,0.1241,0.0294,0.0958,0.1048,0.009,0.0952,0.1255,0.0303,0.0918,0.2054,0.1136,0.0865
0.0926,0.1305,0.0379,0.0668,0.1067,0.0399,0.0528,0.0795,0.0267,0.0623,0.4602,0.3979,0.071,0.3512,0.2802,0.1248,0.1364,0.0116,0.0926,0.1054,0.0128,0.1076,0.086,-0.0216,0.1266,0.1234,-0.0032,0.0881,0.2106,0.1225,0.0681
0.0842,0.1588,0.0746,0.0834,0.124,0.0406,0.0573,0.0948,0.0375,0.0691,0.3323,0.2632,0.1113,0.4458,0.3345,0.1201,0.1455,0.0254,0.1011,0.089,-0.0121,0.1019,0.1159,0.014,0.1026,0.1166,0.014,0.0628,0.1542,0.0914,0.0789
0.0892,0.1527,0.0635,0.0799,0.1118,0.0319,0.0617,0.0834,0.0217,0.0702,0.2324,0.1622,0.0683,0.7704,0.7021,0.0905,0.1422,0.0517,0.0839,0.1051,0.0212,0.0866,0.0808,-0.0058,0.1048,0.1185,0.0137,0.0873,0.1848,0.0975,0.0646
0.0765,0.1213,0.0448,0.0757,0.1105,0.0348,0.062,0.0963,0.0343,0.0586,0.2115,0.1529,0.1245,0.4492,0.3247,0.1037,0.1211,0.0174,0.0997,0.0871,-0.0126,0.1092,0.1436,0.0344,0.1037,0.1026,-0.0011,0.0858,0.1696,0.0838,0.0715
0.0981,0.1265,0.0284,0.0857,0.1137,0.028,0.0704,0.0873,0.0169,0.0628,0.2366,0.1738,0.1076,0.5256,0.418,0.1085,0.1193,0.0108,0.0918,0.1191,0.0273,0.1047,0.1135,0.0088,0.1114,0.11,-0.0014,0.0911,0.9346,0.8435,0.0813
0.0723,0.1115,0.0392,0.0892,0.1122,0.023,0.0683,0.0876,0.0193,0.0726,0.1987,0.1261,0.0836,0.4426,0.359,0.1166,0.2685,0.1519,0.0963,0.1151,0.0188,0.1084,0.1042,-0.0042,0.1008,0.1021,0.0013,0.106,0.223,0.117,0.0623
0.0847,0.26,0.1753,0.0984,0.105,0.0066,0.0641,0.1145,0.0504,0.0588,0.2307,0.1719,0.0776,0.3258,0.2482,0.1082,0.175,0.0668,0.1016,0.0568,-0.0448,0.1195,0.1454,0.0259,0.1087,0.1002,-0.0085,0.0876,0.1824,0.0948,0.0559
0.1169,0.3558,0.2389,0.0844,0.1063,0.0219,0.0815,0.0974,0.0159,0.1,0.5111,0.4111,0.0818,0.6022,0.5204,0.0762,0.1245,0.0483,0.0926,0.0539,-0.0387,0.0995,0.1325,0.033,0.0886,0.0957,0.0071,0.0926,0.2191,0.1265,0.0694
