H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
0.1079,0.4976,0.3897,0.1519,0.1551,0.0032,0.1615,0.1488,-0.0127,0.1317,0.4168,0.2851,0.0842,0.4848,0.4006,0.0926,0.282,0.1894,0.1293,0.1167,-0.0126,0.1527,0.6182,0.4655,0.1245,0.3922,0.2677,0.0921,0.4475,0.3554,0.0762
0.1335,0.9048,0.7713,0.1345,0.1715,0.037,0.0979,0.2145,0.1166,0.013,0.7408,0.7278,0.0755,0.497,0.4215,0.0762,0.3595,0.2833,0.1034,0.4595,0.3561,0.1308,0.4009,0.2701,0.096,0.2231,0.1271,0.082,0.4458,0.3638,0.0654
0.1111,0.4093,0.2982,0.1084,0.1261,0.0177,0.1263,0.1435,0.0172,0.1021,0.8025,0.7004,0.0844,1.6653,1.5809,0.0755,0.4485,0.373,0.1055,0.1734,0.0679,0.1129,0.2965,0.1836,0.0918,0.2442,0.1524,0.125,0.319,0.194,0.1089
0.134,0.3423,0.2083,0.1369,0.138,0.0011,0.0815,0.2208,0.1393,0.0805,0.4233,0.3428,0.0715,0.4112,0.3397,0.0907,0.3342,0.2435,0.1345,0.1227,-0.0118,0.1232,0.3369,0.2137,0.0929,0.1335,0.0406,0.1472,0.3362,0.189,0.129
0.138,0.3734,0.2354,0.1491,0.1327,-0.0164,0.1507,0.1932,0.0425,0.1213,0.3755,0.2542,0.0633,0.3672,0.3039,0.0657,0.3102,0.2445,0.1182,0.766,0.6478,0.1361,0.4481,0.312,0.1079,0.2031,0.0952,0.1042,0.4567,0.3525,0.1108
0.1079,0.4936,0.3857,0.1103,0.1182,0.0079,0.1129,0.1198,0.0069,0.138,0.3503,0.2123,0.0929,0.41,0.3171,0.0733,0.4291,0.3558,0.1016,0.2765,0.1749,0.1849,0.1187,-0.0662,0.0969,0.4083,0.3114,0.0264,0.3559,0.3295,0.1013
0.1118,0.4105,0.2987,0.11,0.1319,0.0219,0.1517,0.5998,0.4481,0.1538,0.4969,0.3431,0.0757,0.8986,0.8229,0.0815,0.4734,0.3919,0.1271,0.2308,0.1037,0.1928,0.105,-0.0878,0.1572,0.3626,0.2054,0.1319,0.2615,0.1296,0.1332
0.1261,0.3533,0.2272,0.1385,0.1245,-0.014,0.1063,0.6403,0.534,0.1509,0.8231,0.6722,0.0802,0.4534,0.3732,0.0873,0.3168,0.2295,0.1084,0.4339,0.3255,0.1089,0.1788,0.0699,0.1577,0.1234,-0.0343,0.1648,0.3266,0.1618,0.1401
0.0929,0.5256,0.4327,0.1066,0.2501,0.1435,0.1203,0.1338,0.0135,0.0992,0.9531,0.8539,0.0828,0.3904,0.3076,0.072,0.3044,0.2324,0.1005,0.234,0.1335,0.1765,0.1288,-0.0477,0.1227,0.3081,0.1854,0.0865,0.2101,0.1236,0.1155
0.0963,0.6632,0.5669,0.1111,0.1304,0.0193,0.1068,0.1195,0.0127,0.1219,0.3471,0.2252,0.1232,0.3559,0.2327,0.1018,0.2899,0.1881,0.1095,0.1141,0.0046,0.1517,0.3068,0.1551,0.0894,0.1284,0.039,0.1253,0.3908,0.2655,0.1424
0.0989,0.289,0.1901,0.1211,0.1142,-0.0069,0.1301,0.1518,0.0217,0.1279,0.3354,0.2075,0.0828,0.3632,0.2804,0.0834,0.2796,0.1962,0.115,0.1177,0.0027,0.1793,0.1477,-0.0316,0.1311,0.1646,0.0335,0.1279,0.7747,0.6468,0.1316
0.0995,0.3592,0.2597,0.1372,0.1103,-0.0269,0.1445,0.3653,0.2208,0.0897,0.5198,0.4301,0.1271,0.533,0.4059,0.0985,0.2581,0.1596,0.1153,0.1183,0.003,0.1743,0.2345,0.0602,0.1153,0.1361,0.0208,0.106,0.3016,0.1956,0.1068
