H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
0.0707,0.1954,0.1247,0.0741,0.1448,0.0707,0.0871,0.1718,0.0847,0.076,0.2384,0.1624,0.096,0.4796,0.3836,0.1425,0.1549,0.0124,0.0778,0.167,0.0892,0.0992,0.1254,0.0262,0.0876,0.2039,0.1163,0.0802,0.2172,0.137,0.095
0.0749,0.1795,0.1046,0.0844,0.1348,0.0504,0.0649,0.1319,0.067,0.0799,0.2785,0.1986,0.1074,0.5747,0.4673,0.1432,0.2189,0.0757,0.0868,0.141,0.0542,0.1068,0.1348,0.028,0.077,0.2028,0.1258,0.1121,0.2077,0.0956,0.0876
0.0815,0.1735,0.092,0.0863,0.1288,0.0425,0.0704,0.1577,0.0873,0.0749,0.2123,0.1374,0.0844,0.4078,0.3234,0.1443,0.1493,0.005,0.0852,0.1599,0.0747,0.0955,0.1204,0.0249,0.0723,0.1802,0.1079,0.0586,0.1811,0.1225,0.0958
0.0726,0.2363,0.1637,0.0918,0.1364,0.0446,0.0773,0.176,0.0987,0.0815,0.2155,0.134,0.0784,0.4991,0.4207,0.133,0.1813,0.0483,0.0842,0.15,0.0658,0.0831,0.1143,0.0312,0.0813,0.2026,0.1213,0.0831,0.1866,0.1035,0.0907
0.0765,0.1606,0.0841,0.0834,0.1227,0.0393,0.0839,0.1562,0.0723,0.0702,0.2023,0.1321,0.0834,0.4281,0.3447,0.1398,0.1884,0.0486,0.0865,0.1272,0.0407,0.0868,0.1594,0.0726,0.0955,0.201,0.1055,0.0731,0.1666,0.0935,0.0878
0.072,0.2352,0.1632,0.0731,0.1238,0.0507,0.067,0.1678,0.1008,0.082,0.2094,0.1274,0.0905,0.4679,0.3774,0.1483,0.18,0.0317,0.0815,0.1436,0.0621,0.101,0.129,0.028,0.0791,0.1922,0.1131,0.0773,0.1893,0.112,0.0881
0.0889,0.6613,0.5724,0.0971,0.1573,0.0602,0.0868,0.5731,0.4863,0.0818,0.6596,0.5778,0.0836,0.4371,0.3535,0.1696,0.3329,0.1633,0.0791,0.1327,0.0536,0.0718,0.1196,0.0478,0.0849,0.192,0.1071,0.0868,0.194,0.1072,0.0915
0.0723,0.1822,0.1099,0.0799,0.1195,0.0396,0.067,0.1599,0.0929,0.0842,0.2074,0.1232,0.0802,0.8796,0.7994,0.1966,0.3,0.1034,0.0836,0.1327,0.0491,0.0929,0.1201,0.0272,0.0958,0.2037,0.1079,0.0805,0.1748,0.0943,0.1076
0.0878,0.5967,0.5089,0.0921,0.1433,0.0512,0.0849,0.1772,0.0923,0.0799,0.2347,0.1548,0.0852,0.4349,0.3497,0.1311,0.1385,0.0074,0.0918,0.1333,0.0415,0.0921,0.0908,-0.0013,0.0726,1.8716,1.799,0.0678,0.1874,0.1196,0.082
0.072,0.2636,0.1916,0.0886,0.1986,0.11,0.0739,0.1319,0.058,0.0704,0.2207,0.1503,0.0997,0.4458,0.3461,0.1448,0.1612,0.0164,0.0929,0.1315,0.0386,0.0952,0.0963,0.0011,0.0855,0.186,0.1005,0.0657,0.1703,0.1046,0.0971
