H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
0.0776,0.2925,0.2149,0.0749,0.148,0.0731,0.0815,0.1841,0.1026,0.0855,0.2516,0.1661,0.0813,0.5439,0.4626,0.1506,0.1789,0.0283,0.0855,0.1761,0.0906,0.1008,0.1789,0.0781,0.0868,0.2875,0.2007,0.096,0.2301,0.1341,0.1026
0.071,0.1675,0.0965,0.0723,0.1264,0.0541,0.0823,0.1509,0.0686,0.0868,0.2661,0.1793,0.0955,0.435,0.3395,0.1506,0.1746,0.024,0.0905,0.4753,0.3848,0.1068,0.1709,0.0641,0.0789,0.1926,0.1137,0.0852,0.2001,0.1149,0.0958
0.072,0.1806,0.1086,0.0786,0.138,0.0594,0.0733,0.1593,0.086,0.0744,0.231,0.1566,0.081,0.4743,0.3933,0.1425,0.1684,0.0259,0.0907,0.1654,0.0747,0.1013,0.1467,0.0454,0.0876,0.196,0.1084,0.0836,0.1885,0.1049,0.0857
0.0744,0.1814,0.107,0.0805,0.1312,0.0507,0.0702,0.1765,0.1063,0.0752,0.2234,0.1482,0.076,0.4356,0.3596,0.1372,0.1794,0.0422,0.0844,1.1008,1.0164,0.1142,0.2498,0.1356,0.0849,0.2381,0.1532,0.0805,0.2109,0.1304,0.0897
0.0731,0.361,0.2879,0.0871,0.1858,0.0987,0.0799,0.1783,0.0984,0.0802,1.0957,1.0155,0.0752,0.4212,0.346,0.1346,0.175,0.0404,0.0791,0.143,0.0639,0.095,0.1365,0.0415,0.0799,0.1983,0.1184,0.1,0.2138,0.1138,0.1002
0.0694,0.2065,0.1371,0.091,0.1876,0.0966,0.0836,0.1828,0.0992,0.0834,0.557,0.4736,0.0799,0.4811,0.4012,0.1598,0.2231,0.0633,0.0794,0.1499,0.0705,0.1016,0.1362,0.0346,0.0902,0.2247,0.1345,0.1018,0.2351,0.1333,0.0992
0.0749,0.2075,0.1326,0.0799,0.1569,0.077,0.0741,0.1467,0.0726,0.0913,0.3656,0.2743,0.0871,0.6093,0.5222,0.1672,0.2438,0.0766,0.091,0.1884,0.0974,0.0973,0.1372,0.0399,0.086,0.23,0.144,0.0905,0.2048,0.1143,0.0942
0.0712,0.2212,0.15,0.0913,0.1784,0.0871,0.0781,0.1551,0.077,0.0807,0.2492,0.1685,0.0802,0.4608,0.3806,0.1527,1.4741,1.3214,0.1169,0.6687,0.5518,0.096,0.1649,0.0689,0.0915,0.2278,0.1363,0.0752,0.2217,0.1465,0.1116
0.0755,0.1538,0.0783,0.0947,0.1306,0.0359,0.0802,0.1496,0.0694,0.0791,0.2228,0.1437,0.0984,0.4655,0.3671,0.1451,0.1694,0.0243,0.0871,0.1299,0.0428,0.1047,0.1277,0.023,0.0818,0.182,0.1002,0.091,0.1679,0.0769,0.0939
0.0871,0.2405,0.1534,0.0892,0.1066,0.0174,0.0773,0.1641,0.0868,0.0823,0.254,0.1717,0.0931,0.4677,0.3746,0.1457,0.2233,0.0776,0.0807,0.1546,0.0739,0.1053,0.1428,0.0375,0.0807,0.2039,0.1232,0.0966,0.2418,0.1452,0.1113
0.0755,0.1474,0.0719,0.1,0.1449,0.0449,0.0755,0.1533,0.0778,0.0878,0.2642,0.1764,0.0926,0.4429,0.3503,0.1451,0.1958,0.0507,0.0878,0.1327,0.0449,0.106,0.1517,0.0457,0.0815,0.2031,0.1216,0.0852,0.1877,0.1025,0.0902
0.0791,0.1756,0.0965,0.0934,0.1251,0.0317,0.0736,0.2023,0.1287,0.0857,0.235,0.1493,0.0939,0.4793,0.3854,0.1728,0.2572,0.0844,0.0752,0.1934,0.1182,0.1134,0.1994,0.086,0.0728,0.1875,0.1147,0.0741,0.1982,0.1241,0.0934
0.0741,0.1334,0.0593,0.09,0.1391,0.0491,0.09,0.1438,0.0538,0.0894,0.2371,0.1477,0.0939,0.4157,0.3218,0.162,0.2005,0.0385,0.1018,0.1987,0.0969,0.1095,0.2322,0.1227,0.0583,0.2078,0.1495,0.0538,0.3092,0.2554,0.1026
0.0612,0.1247,0.0635,0.0897,0.1528,0.0631,0.0744,0.1488,0.0744,0.0776,0.2163,0.1387,0.0979,0.5576,0.4597,0.1557,0.2085,0.0528,0.0873,0.1262,0.0389,0.1134,0.147,0.0336,0.0934,0.2118,0.1184,0.0987,0.2479,0.1492,0.0997
0.0805,0.1595,0.079,0.0863,0.1349,0.0486,0.0712,0.1548,0.0836,0.0731,0.2007,0.1276,0.0873,0.4357,0.3484,0.1588,0.1815,0.0227,0.0834,0.1323,0.0489,0.1026,0.1267,0.0241,0.0778,0.1886,0.1108,0.0675,0.1927,0.1252,0.1079
0.0849,0.2032,0.1183,0.0791,0.1277,0.0486,0.0683,0.154,0.0857,0.0757,0.1962,0.1205,0.0934,0.4136,0.3202,0.1552,0.1922,0.037,0.0939,0.1333,0.0394,0.1016,0.1576,0.056,0.0768,0.1994,0.1226,0.0625,0.1829,0.1204,0.1047
0.0815,0.1453,0.0638,0.0913,0.1507,0.0594,0.0757,0.1596,0.0839,0.0773,0.3265,0.2492,0.1108,0.4651,0.3543,0.1496,0.1742,0.0246,0.082,0.1288,0.0468,0.1095,0.1486,0.0391,0.0823,0.1873,0.105,0.0857,0.1945,0.1088,0.0826
0.0707,0.1632,0.0925,0.0831,0.1132,0.0301,0.0836,0.1709,0.0873,0.0805,0.2393,0.1588,0.0907,0.4109,0.3202,0.1517,0.1958,0.0441,0.0826,0.1381,0.0555,0.0897,0.1549,0.0652,0.0813,0.1939,0.1126,0.0926,0.1998,0.1072,0.0981
0.0839,0.2492,0.1653,0.0831,0.1301,0.047,0.0691,0.168,0.0989,0.077,0.2373,0.1603,0.0955,0.4733,0.3778,0.1372,0.1789,0.0417,0.0786,0.133,0.0544,0.0828,0.1496,0.0668,0.0852,0.197,0.1118,0.0923,0.2064,0.1141,0.1082
0.0728,0.1603,0.0875,0.0876,0.143,0.0554,0.0757,0.1675,0.0918,0.0704,0.2183,0.1479,0.0794,0.402,0.3226,0.1519,0.1762,0.0243,0.0942,0.1241,0.0299,0.1029,0.1589,0.056,0.0863,0.2042,0.1179,0.0952,0.2138,0.1186,0.0952
0.0907,0.1811,0.0904,0.0886,0.1335,0.0449,0.0818,0.1644,0.0826,0.072,0.2226,0.1506,0.0805,0.43,0.3495,0.1648,0.2558,0.091,0.0989,0.1586,0.0597,0.1016,0.1444,0.0428,0.1053,0.2511,0.1458,0.0952,0.6607,0.5655,0.1103
0.0744,0.1645,0.0901,0.0881,0.1306,0.0425,0.0781,0.163,0.0849,0.0876,0.2485,0.1609,0.1208,0.5019,0.3811,0.1654,0.4495,0.2841,0.0813,0.1373,0.056,0.0973,0.1425,0.0452,0.0826,0.1965,0.1139,0.0892,0.1788,0.0896,0.1076
0.1005,0.1358,0.0353,0.096,0.1385,0.0425,0.0773,0.1414,0.0641,0.0702,0.2026,0.1324,0.0889,0.3709,0.282,0.1417,0.1642,0.0225,0.0826,0.1233,0.0407,0.0865,0.1193,0.0328,0.0865,0.1875,0.101,0.0868,0.1882,0.1014,0.0947
0.09,0.1825,0.0925,0.0905,0.1161,0.0256,0.0826,0.1457,0.0631,0.0765,0.1939,0.1174,0.0987,0.4836,0.3849,0.1709,0.2498,0.0789,0.0834,0.1423,0.0589,0.0926,0.1536,0.061,0.0805,0.187,0.1065,0.0826,0.1948,0.1122,0.0971
0.0828,0.3206,0.2378,0.1042,0.1783,0.0741,0.0786,0.2155,0.1369,0.0942,0.3234,0.2292,0.096,0.7487,0.6527,0.1657,0.3092,0.1435,0.0989,0.451,0.3521,0.1095,0.2066,0.0971,0.0868,1.5804,1.4936,0.1037,0.2734,0.1697,0.0997
0.1377,0.255,0.1173,0.1074,0.1639,0.0565,0.082,0.1767,0.0947,0.0886,0.2371,0.1485,0.1134,0.4506,0.3372,0.158,0.2393,0.0813,0.0876,0.1602,0.0726,0.1087,0.1438,0.0351,0.0958,0.2195,0.1237,0.0981,0.2032,0.1051,0.1097
0.0931,0.2584,0.1653,0.0897,0.1048,0.0151,0.0902,0.1852,0.095,0.0958,0.2398,0.144,0.1005,0.4827,0.3822,0.1607,0.252,0.0913,0.1126,0.3482,0.2356,0.114,0.152,0.038,0.0918,0.2445,0.1527,0.1111,0.2278,0.1167,0.1116
0.0834,0.1429,0.0595,0.1031,0.1345,0.0314,0.0831,0.1462,0.0631,0.0786,0.2123,0.1337,0.0918,0.869,0.7772,0.167,0.4334,0.2664,0.0794,0.1591,0.0797,0.0791,0.1332,0.0541,0.0799,0.2236,0.1437,0.0831,0.2038,0.1207,0.1026
0.0973,0.1415,0.0442,0.0963,0.1501,0.0538,0.0794,0.1585,0.0791,0.0678,0.207,0.1392,0.0918,0.4276,0.3358,0.1681,0.2217,0.0536,0.0878,0.1765,0.0887,0.1058,0.1322,0.0264,0.0939,0.211,0.1171,0.1071,0.2054,0.0983,0.096
0.1024,0.1862,0.0838,0.0931,0.1369,0.0438,0.0857,0.1706,0.0849,0.1034,0.4713,0.3679,0.0915,0.4792,0.3877,0.1519,0.2268,0.0749,0.0918,0.1425,0.0507,0.0973,0.1369,0.0396,0.0947,0.2155,0.1208,0.1034,0.208,0.1046,0.1092
0.1039,0.1418,0.0379,0.0979,0.1401,0.0422,0.0826,0.1272,0.0446,0.0762,0.2107,0.1345,0.0929,0.8232,0.7303,0.1783,0.417,0.2387,0.0836,0.1309,0.0473,0.0952,0.1303,0.0351,0.0892,0.1994,0.1102,0.1063,0.2328,0.1265,0.1053
0.0863,0.8267,0.7404,0.0886,0.134,0.0454,0.0773,0.1699,0.0926,0.0583,0.221,0.1627,0.0868,0.4305,0.3437,0.1625,0.248,0.0855,0.081,0.1821,0.1011,0.0973,0.1556,0.0583,0.0889,0.2337,0.1448,0.0989,0.2375,0.1386,0.1013
0.1121,0.4873,0.3752,0.1029,0.161,0.0581,0.0834,0.1652,0.0818,0.0691,0.1967,0.1276,0.0823,0.4099,0.3276,0.148,0.1723,0.0243,0.0855,0.1426,0.0571,0.0989,0.1269,0.028,0.0765,0.1915,0.115,0.0826,0.2194,0.1368,0.0913
0.0989,0.1901,0.0912,0.0979,0.148,0.0501,0.0839,0.1659,0.082,0.0723,0.1931,0.1208,0.0923,0.4279,0.3356,0.1448,0.1744,0.0296,0.0939,0.2011,0.1072,0.0884,0.1341,0.0457,0.0805,0.2008,0.1203,0.1071,0.2346,0.1275,0.1029
0.0921,0.2529,0.1608,0.0847,0.1298,0.0451,0.0836,0.158,0.0744,0.0749,0.2278,0.1529,0.0855,0.5966,0.5111,0.183,0.3002,0.1172,0.086,0.1309,0.0449,0.105,0.1386,0.0336,0.0844,0.201,0.1166,0.0881,0.1832,0.0951,0.0995
