H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
0.0702,0.3934,0.3232,0.0596,0.106,0.0464,0.0557,0.1523,0.0966,0.0591,0.4984,0.4393,0.053,2.6693,2.6163,0.0799,0.4542,0.3743,0.0799,0.3706,0.2907,0.1074,0.1597,0.0523,0.0607,0.1807,0.12,0.0849,0.4031,0.3182,0.0623
0.0752,0.3792,0.304,0.0617,0.1158,0.0541,0.0525,1.029,0.9765,0.0749,0.562,0.4871,0.0443,0.6986,0.6543,0.1026,0.8413,0.7387,0.0625,0.1201,0.0576,0.1134,0.1301,0.0167,0.0675,0.1941,0.1266,0.0694,0.5471,0.4777,0.071
0.0834,0.3578,0.2744,0.0446,0.1111,0.0665,0.0615,0.9096,0.8481,0.0652,1.6843,1.6191,0.0591,0.6665,0.6074,0.0496,0.609,0.5594,0.0863,0.1544,0.0681,0.0789,0.1486,0.0697,0.0636,0.8668,0.8032,0.0855,0.3175,0.232,0.0784
0.1074,0.303,0.1956,0.0538,0.0839,0.0301,0.0549,0.1712,0.1163,0.0752,0.2986,0.2234,0.0446,0.5869,0.5423,0.0942,0.3264,0.2322,0.0741,0.1354,0.0613,0.1279,0.1293,0.0014,0.061,0.2018,0.1408,0.0731,0.3763,0.3032,0.0586
0.0726,0.9567,0.8841,0.0654,0.081,0.0156,0.061,0.1465,0.0855,0.0599,0.2424,0.1825,0.0528,0.7278,0.675,0.0886,0.5734,0.4848,0.0631,0.1249,0.0618,0.0915,0.1195,0.028,0.0604,0.1962,0.1358,0.0813,0.3304,0.2491,0.0103
0.0868,0.3354,0.2486,0.0631,0.0826,0.0195,0.0633,0.1527,0.0894,0.0567,0.2437,0.187,0.0422,0.9718,0.9296,0.0755,0.6449,0.5694,0.066,0.1782,0.1122,0.0723,0.1428,0.0705,0.0623,0.23,0.1677,0.0707,0.4327,0.362,0.0607
0.0828,0.2945,0.2117,0.0591,0.0918,0.0327,0.0499,0.1871,0.1372,0.0678,0.4322,0.3644,0.0623,0.6777,0.6154,0.0631,0.5869,0.5238,0.0712,0.1225,0.0513,0.0913,0.1525,0.0612,0.0575,0.1904,0.1329,0.0718,0.3576,0.2858,0.0686
0.0654,0.2745,0.2091,0.057,0.0834,0.0264,0.0562,0.1765,0.1203,0.0654,0.9688,0.9034,0.0562,0.5761,0.5199,0.0578,1.0391,0.9813,0.0103,0.1264,0.1161,0.0905,0.1014,0.0109,0.0596,0.2442,0.1846,0.0689,0.828,0.7591,0.0536
0.0894,0.3127,0.2233,0.052,0.0874,0.0354,0.0631,0.18,0.1169,0.0578,0.2827,0.2249,0.0599,0.5386,0.4787,0.0544,0.3648,0.3104,0.0765,0.2464,0.1699,0.095,0.1201,0.0251,0.061,0.1646,0.1036,0.0905,0.2803,0.1898,0.0765
0.0718,1.3895,1.3177,0.0557,0.085,0.0293,0.0662,0.1359,0.0697,0.0641,0.2806,0.2165,0.0565,0.5223,0.4658,0.0583,0.4471,0.3888,0.0902,0.1177,0.0275,0.0886,0.1353,0.0467,0.0551,1.4002,1.3451,0.0689,0.3017,0.2328,0.0636
0.0678,0.2397,0.1719,0.0623,0.0961,0.0338,0.0797,0.1617,0.082,0.0562,0.2411,0.1849,0.0599,0.6294,0.5695,0.0554,0.4781,0.4227,0.0694,0.1296,0.0602,0.0892,0.1214,0.0322,0.0599,0.1825,0.1226,0.0702,0.2755,0.2053,0.0744
0.0813,0.2951,0.2138,0.0649,0.0802,0.0153,0.0823,0.192,0.1097,0.0649,1.0003,0.9354,0.0478,0.675,0.6272,0.0549,0.5892,0.5343,0.0718,0.1265,0.0547,0.1137,0.1206,0.0069,0.0607,0.6891,0.6284,0.0665,0.4203,0.3538,0.0683
0.105,0.2845,0.1795,0.0755,0.09,0.0145,0.0681,0.1364,0.0683,0.0633,0.2315,0.1682,0.067,0.681,0.614,0.0702,0.5249,0.4547,0.0728,0.1322,0.0594,0.0971,0.1101,0.013,0.0631,0.3065,0.2434,0.1166,0.3675,0.2509,0.0828
0.0639,0.3732,0.3093,0.0836,0.0971,0.0135,0.0551,0.1337,0.0786,0.0789,0.3371,0.2582,0.0686,0.5065,0.4379,0.0557,0.7653,0.7096,0.0762,0.2145,0.1383,0.1153,0.1531,0.0378,0.0662,0.1878,0.1216,0.1063,0.3071,0.2008,0.0723
0.0718,0.3404,0.2686,0.0699,0.1285,0.0586,0.061,0.1436,0.0826,0.0834,0.5388,0.4554,0.0549,0.4785,0.4236,0.0644,0.3801,0.3157,0.0686,0.1249,0.0563,0.0913,0.1428,0.0515,0.0562,0.8244,0.7682,0.0892,0.4348,0.3456,0.0739
0.0652,1.6829,1.6177,0.0665,0.0871,0.0206,0.0673,0.1496,0.0823,0.0718,0.2606,0.1888,0.047,0.4962,0.4492,0.0573,0.4065,0.3492,0.0718,0.1188,0.047,0.1192,0.1267,0.0075,0.0575,0.5074,0.4499,0.0762,0.353,0.2768,0.0762
0.0657,0.2405,0.1748,0.0871,0.0882,0.0011,0.0617,0.1569,0.0952,0.0678,0.2556,0.1878,0.0728,0.604,0.5312,0.0691,0.5792,0.5101,0.0702,0.1033,0.0331,0.105,0.1467,0.0417,0.0628,0.2371,0.1743,0.0728,0.3237,0.2509,0.0641
0.0678,0.5366,0.4688,0.0723,0.0863,0.014,0.0591,0.1562,0.0971,0.0757,0.6543,0.5786,0.0617,0.5736,0.5119,0.0744,0.4112,0.3368,0.0778,0.1161,0.0383,0.1221,0.1406,0.0185,0.0675,0.2215,0.154,0.0715,0.3573,0.2858,0.0681
0.1037,0.173,0.0693,0.077,0.0963,0.0193,0.0794,0.134,0.0546,0.0628,0.2463,0.1835,0.0791,0.6543,0.5752,0.0844,1.5572,1.4728,0.0459,0.3139,0.268,0.0958,0.2609,0.1651,0.0578,0.6836,0.6258,0.0878,0.3451,0.2573,0.0747
0.0784,0.639,0.5606,0.0755,0.0993,0.0238,0.0665,0.1129,0.0464,0.0844,0.6941,0.6097,0.0472,0.5341,0.4869,0.0515,0.4176,0.3661,0.0723,0.1444,0.0721,0.0773,0.1043,0.027,0.0575,0.1962,0.1387,0.0847,0.395,0.3103,0.0773
0.0646,1.0819,1.0173,0.0755,0.0866,0.0111,0.0839,0.1559,0.072,0.0704,0.6703,0.5999,0.0449,0.4284,0.3835,0.0665,0.3332,0.2667,0.0757,0.1259,0.0502,0.0857,0.1132,0.0275,0.0665,0.649,0.5825,0.081,0.414,0.333,0.0878
0.1142,0.294,0.1798,0.0644,0.0692,0.0048,0.0976,0.1873,0.0897,0.0583,0.2611,0.2028,0.0778,0.5017,0.4239,0.0678,0.3861,0.3183,0.0786,0.137,0.0584,0.0842,0.1154,0.0312,0.0562,0.856,0.7998,0.0678,0.4203,0.3525,0.0752
0.1082,0.2785,0.1703,0.1147,0.3397,0.225,0.071,0.2501,0.1791,0.0639,0.5525,0.4886,0.0699,0.7213,0.6514,0.0636,0.4057,0.3421,0.0739,0.1033,0.0294,0.0989,0.1596,0.0607,0.0475,0.6408,0.5933,0.0852,0.3754,0.2902,0.0894
0.0813,0.5069,0.4256,0.0591,0.1404,0.0813,0.0681,0.1259,0.0578,0.0607,0.3292,0.2685,0.0501,0.4515,0.4014,0.0797,0.3487,0.269,0.0942,0.1531,0.0589,0.0863,0.118,0.0317,0.0631,0.2055,0.1424,0.0815,0.3425,0.261,0.076
0.0981,0.2518,0.1537,0.0602,0.0882,0.028,0.071,0.1499,0.0789,0.0831,0.7756,0.6925,0.0755,0.9432,0.8677,0.0665,0.4131,0.3466,0.0842,0.1275,0.0433,0.1071,0.1217,0.0146,0.0604,0.538,0.4776,0.0794,0.3673,0.2879,0.072
0.0657,0.409,0.3433,0.0744,0.0992,0.0248,0.0631,0.1404,0.0773,0.0644,0.4046,0.3402,0.0752,0.429,0.3538,0.0757,0.3466,0.2709,0.0815,0.119,0.0375,0.1037,0.1141,0.0104,0.0665,0.5741,0.5076,0.0852,0.3733,0.2881,0.072
0.101,0.4314,0.3304,0.0565,0.1093,0.0528,0.0654,0.1899,0.1245,0.0762,0.4217,0.3455,0.0478,0.468,0.4202,0.0707,0.3669,0.2962,0.0789,0.1323,0.0534,0.0913,0.1512,0.0599,0.0786,0.4673,0.3887,0.0744,0.4609,0.3865,0.0768
0.1097,0.7475,0.6378,0.0586,0.089,0.0304,0.076,0.1596,0.0836,0.061,0.3049,0.2439,0.0689,0.5611,0.4922,0.0802,0.4302,0.35,0.0815,0.1233,0.0418,0.0868,0.1222,0.0354,0.0583,0.1807,0.1224,0.0723,0.342,0.2697,0.0739
0.1166,0.3177,0.2011,0.0538,0.1227,0.0689,0.0472,0.0992,0.052,0.0902,0.2743,0.1841,0.081,0.518,0.437,0.0596,0.3524,0.2928,0.0749,0.1475,0.0726,0.0918,0.1122,0.0204,0.0673,0.2023,0.135,0.0878,1.2562,1.1684,0.0362
0.1021,0.3125,0.2104,0.052,0.0995,0.0475,0.066,0.1109,0.0449,0.0865,0.2054,0.1189,0.0501,0.4558,0.4057,0.0715,0.3848,0.3133,0.0776,0.1138,0.0362,0.0997,0.1449,0.0452,0.0575,0.4673,0.4098,0.0907,0.3651,0.2744,0.0784
0.0886,1.4542,1.3656,0.0649,0.1137,0.0488,0.0736,0.1261,0.0525,0.0628,0.5079,0.4451,0.0591,0.9751,0.916,0.0747,0.743,0.6683,0.0694,0.1447,0.0753,0.0855,0.2702,0.1847,0.0575,0.6181,0.5606,0.0939,0.3596,0.2657,0.0712
0.0747,0.5055,0.4308,0.067,0.1161,0.0491,0.0639,0.1024,0.0385,0.0607,0.3906,0.3299,0.0615,0.7221,0.6606,0.0541,0.4676,0.4135,0.071,0.1547,0.0837,0.0982,0.095,-0.0032,0.0552,0.1871,0.1319,0.0897,0.3443,0.2546,0.0863
