H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
0.0881,0.1695,0.0814,0.0865,0.0683,-0.0182,0.0607,0.1016,0.0409,0.0884,0.2527,0.1643,0.0768,0.366,0.2892,0.0857,0.1443,0.0586,0.0797,0.118,0.0383,0.0973,0.1013,0.004,0.0857,0.1068,0.0211,0.0984,0.1816,0.0832,0.1002
0.0712,0.1455,0.0743,0.087,0.0849,-0.0021,0.0543,0.0913,0.037,0.1245,0.3289,0.2044,0.0826,0.3841,0.3015,0.085,0.1233,0.0383,0.0773,0.1309,0.0536,0.0919,0.0721,-0.0198,0.0795,0.1164,0.0369,0.0995,0.1804,0.0809,0.096
0.0995,0.1353,0.0358,0.09,0.0873,-0.0027,0.0663,0.0914,0.0251,0.09,0.2195,0.1295,0.0881,0.3614,0.2733,0.0876,0.1261,0.0385,0.0955,0.1309,0.0354,0.0855,0.0773,-0.0082,0.0842,0.1148,0.0306,0.0968,0.2064,0.1096,0.1031
0.0944,0.1597,0.0653,0.077,0.0813,0.0043,0.0689,0.094,0.0251,0.1097,0.283,0.1733,0.0915,0.479,0.3875,0.0897,0.137,0.0473,0.0826,0.1383,0.0557,0.0868,0.0945,0.0077,0.081,0.1132,0.0322,0.1042,0.199,0.0948,0.0995
0.0755,0.1245,0.049,0.0733,0.0868,0.0135,0.0496,0.0837,0.0341,0.1071,0.2028,0.0957,0.0968,0.3788,0.282,0.0952,0.1406,0.0454,0.0876,0.1333,0.0457,0.0977,0.0734,-0.0243,0.0792,0.1045,0.0253,0.1039,0.1953,0.0914,0.1124
0.1121,0.1424,0.0303,0.0957,0.082,-0.0137,0.0836,0.0963,0.0127,0.1113,0.2044,0.0931,0.0897,0.4316,0.3419,0.0834,0.1882,0.1048,0.0815,0.1314,0.0499,0.1029,0.0987,-0.0042,0.0834,0.1182,0.0348,0.0976,0.2942,0.1966,0.0188
0.0984,0.1822,0.0838,0.072,0.0749,0.0029,0.0805,0.095,0.0145,0.0947,0.2387,0.144,0.0744,0.3909,0.3165,0.0934,0.1452,0.0518,0.0699,0.1285,0.0586,0.0976,0.0876,-0.01,0.0945,0.1174,0.0229,0.1045,0.1991,0.0946,0.1005
0.0842,0.1461,0.0619,0.0807,0.0488,-0.0319,0.0979,0.1114,0.0135,0.1111,0.3492,0.2381,0.0704,0.4486,0.3782,0.0871,0.132,0.0449,0.0776,0.1281,0.0505,0.0976,0.0921,-0.0055,0.0865,0.101,0.0145,0.1108,0.4654,0.3546,0.0683
0.1224,0.1896,0.0672,0.0929,0.0842,-0.0087,0.0715,0.1369,0.0654,0.106,0.3104,0.2044,0.0857,0.396,0.3103,0.0836,0.1266,0.043,0.0873,0.1357,0.0484,0.0897,0.0831,-0.0066,0.0858,0.114,0.0282,0.119,0.2236,0.1046,0.095
0.1134,0.1619,0.0485,0.0934,0.0902,-0.0032,0.0763,0.0866,0.0103,0.1126,0.2408,0.1282,0.0958,0.3654,0.2696,0.1093,0.1539,0.0446,0.0852,0.1267,0.0415,0.0956,0.0729,-0.0227,0.0993,0.0979,-0.0014,0.1269,0.2128,0.0859,0.1002
0.0992,0.1777,0.0785,0.082,0.1034,0.0214,0.0894,0.1206,0.0312,0.0863,0.3342,0.2479,0.082,0.3598,0.2778,0.0877,0.1381,0.0504,0.0704,0.1161,0.0457,0.0797,0.0636,-0.0161,0.0924,0.1146,0.0222,0.1203,0.2241,0.1038,0.0902
0.0936,0.2502,0.1566,0.0641,0.085,0.0209,0.076,0.118,0.042,0.0902,0.3842,0.294,0.081,0.3677,0.2867,0.0903,0.1357,0.0454,0.0929,0.1473,0.0544,0.0923,0.0958,0.0035,0.101,0.1508,0.0498,0.1121,0.2309,0.1188,0.0947
0.1068,0.2758,0.169,0.1045,0.101,-0.0035,0.0608,0.1017,0.0409,0.1084,0.2519,0.1435,0.0844,0.3954,0.311,0.0852,0.1253,0.0401,0.0707,0.1586,0.0879,0.0911,0.085,-0.0061,0.0903,0.167,0.0767,0.119,0.2252,0.1062,0.0876
0.1084,0.1751,0.0667,0.1029,0.1101,0.0072,0.0966,0.1085,0.0119,0.1008,0.2733,0.1725,0.0839,0.42,0.3361,0.0797,0.1797,0.1,0.0739,0.2401,0.1662,0.096,0.1314,0.0354,0.0892,0.1578,0.0686,0.0934,0.4377,0.3443,0.1187
0.1424,0.2613,0.1189,0.0989,0.1,0.0011,0.0818,0.1164,0.0346,0.0939,0.3028,0.2089,0.0612,0.4891,0.4279,0.1485,0.2578,0.1093,0.0789,0.1958,0.1169,0.1156,0.1077,-0.0079,0.0726,0.1285,0.0559,0.1105,0.1969,0.0864,0.1116
0.1195,0.1553,0.0358,0.0902,0.0934,0.0032,0.0929,0.1037,0.0108,0.1116,0.25,0.1384,0.082,0.3917,0.3097,0.0979,0.1784,0.0805,0.0836,0.1581,0.0745,0.0955,0.0934,-0.0021,0.0984,0.1904,0.092,0.1055,0.1924,0.0869,0.1129
0.1097,0.1405,0.0308,0.0842,0.0794,-0.0048,0.0919,0.1049,0.013,0.1163,0.2442,0.1279,0.0839,0.4038,0.3199,0.0702,0.1799,0.1097,0.0902,0.1989,0.1087,0.1224,0.1718,0.0494,0.0791,0.1714,0.0923,0.0955,0.1951,0.0996,0.0971
0.0968,0.1933,0.0965,0.0921,0.095,0.0029,0.0649,0.1195,0.0546,0.0971,0.5834,0.4863,0.0831,0.3672,0.2841,0.0857,0.1448,0.0591,0.067,0.1937,0.1267,0.0902,0.1269,0.0367,0.1145,0.1707,0.0562,0.0989,0.4174,0.3185,0.1171
0.101,0.1869,0.0859,0.1039,0.1126,0.0087,0.0849,0.1245,0.0396,0.11,0.2709,0.1609,0.0963,0.4358,0.3395,0.1303,0.2491,0.1188,0.0757,0.1383,0.0626,0.0929,0.1027,0.0098,0.0818,0.1522,0.0704,0.1182,0.2455,0.1273,0.1076
0.1016,0.2389,0.1373,0.0726,0.1728,0.1002,0.0654,0.1213,0.0559,0.0628,0.3508,0.288,0.0504,0.3765,0.3261,0.1145,0.1892,0.0747,0.0839,0.1731,0.0892,0.1146,0.0932,-0.0214,0.0966,0.153,0.0564,0.1047,0.1943,0.0896,0.1021
0.0952,0.1537,0.0585,0.0771,0.0681,-0.009,0.0913,0.1029,0.0116,0.1169,0.2701,0.1532,0.0913,0.4371,0.3458,0.1351,0.1623,0.0272,0.0762,0.1939,0.1177,0.1101,0.104,-0.0061,0.0908,0.1261,0.0353,0.1008,0.1935,0.0927,0.1034
0.0931,0.165,0.0719,0.0831,0.0855,0.0024,0.0879,0.0855,-0.0024,0.1166,0.2118,0.0952,0.0913,0.4967,0.4054,0.1369,0.1771,0.0402,0.0855,0.2325,0.147,0.1256,0.1195,-0.0061,0.0858,0.1238,0.038,0.0942,0.2202,0.126,0.0791
0.1153,0.2041,0.0888,0.0861,0.0842,-0.0019,0.0652,0.1167,0.0515,0.1203,0.2748,0.1545,0.1079,0.4252,0.3173,0.1198,0.1729,0.0531,0.0855,0.2064,0.1209,0.1222,0.0982,-0.024,0.0918,0.1351,0.0433,0.1271,0.2169,0.0898,0.0958
0.0768,0.1508,0.074,0.1003,0.0813,-0.019,0.0887,0.099,0.0103,0.1219,0.2611,0.1392,0.0942,0.469,0.3748,0.1343,0.1697,0.0354,0.0907,0.1852,0.0945,0.0921,0.0961,0.004,0.0802,0.1224,0.0422,0.1092,0.4287,0.3195,0.0989
0.0968,0.1347,0.0379,0.095,0.0971,0.0021,0.0984,0.0847,-0.0137,0.1129,0.2864,0.1735,0.0955,0.391,0.2955,0.1089,0.1449,0.036,0.0868,0.1618,0.075,0.1409,0.0921,-0.0488,0.0858,0.1525,0.0667,0.119,0.2484,0.1294,0.0984
0.1121,0.1679,0.0558,0.0971,0.0797,-0.0174,0.0878,0.0939,0.0061,0.1105,0.2922,0.1817,0.1045,0.4683,0.3638,0.1084,0.1541,0.0457,0.0699,0.1844,0.1145,0.0902,0.1024,0.0122,0.0715,0.1427,0.0712,0.1166,0.1985,0.0819,0.1047
0.1097,0.1914,0.0817,0.1045,0.0865,-0.018,0.0906,0.0978,0.0072,0.1385,0.3397,0.2012,0.095,0.4514,0.3564,0.1092,0.1385,0.0293,0.0947,0.1784,0.0837,0.0995,0.1207,0.0212,0.0834,0.1419,0.0585,0.1053,0.2099,0.1046,0.1153
0.1,0.2869,0.1869,0.09,0.0993,0.0093,0.0731,0.1528,0.0797,0.1176,0.2597,0.1421,0.0778,0.3777,0.2999,0.0966,0.1882,0.0916,0.0884,0.1407,0.0523,0.0981,0.1293,0.0312,0.0871,0.1565,0.0694,0.1068,0.1929,0.0861,0.1116
0.0929,0.2379,0.145,0.0918,0.0955,0.0037,0.0612,0.096,0.0348,0.11,0.239,0.129,0.1137,0.4033,0.2896,0.1047,0.1436,0.0389,0.0902,0.1747,0.0845,0.1024,0.108,0.0056,0.1124,0.1715,0.0591,0.1029,0.2188,0.1159,0.0979
0.1089,0.1658,0.0569,0.1,0.0768,-0.0232,0.0799,0.1129,0.033,0.124,0.2556,0.1316,0.1158,0.3912,0.2754,0.1068,0.1659,0.0591,0.0831,0.1892,0.1061,0.1058,0.104,-0.0018,0.0921,0.1649,0.0728,0.1111,0.2062,0.0951,0.1005
0.1047,0.342,0.2373,0.0934,0.2524,0.159,0.0781,0.1443,0.0662,0.0791,0.515,0.4359,0.1066,0.4031,0.2965,0.0992,0.157,0.0578,0.0989,0.1488,0.0499,0.1108,0.1167,0.0059,0.0958,0.1514,0.0556,0.1192,0.7533,0.6341,0.1166
0.114,0.1522,0.0382,0.0837,0.0823,-0.0014,0.0982,0.0916,-0.0066,0.1124,0.6414,0.529,0.081,0.3846,0.3036,0.105,0.146,0.041,0.0739,0.1652,0.0913,0.0768,0.0631,-0.0137,0.104,0.172,0.068,0.1111,0.1999,0.0888,0.1021
0.1018,0.1455,0.0437,0.0889,0.09,0.0011,0.0813,0.089,0.0077,0.1174,0.2461,0.1287,0.0881,0.3849,0.2968,0.0966,0.156,0.0594,0.0884,0.151,0.0626,0.11,0.2087,0.0987,0.0839,0.1728,0.0889,0.1071,0.1985,0.0914,0.1053
0.1008,0.2305,0.1297,0.0802,0.0908,0.0106,0.0791,0.1081,0.029,0.1129,0.2566,0.1437,0.1034,0.4031,0.2997,0.0968,0.1174,0.0206,0.0813,0.1692,0.0879,0.0952,0.1989,0.1037,0.0712,0.1878,0.1166,0.1018,0.1935,0.0917,0.1024
0.0915,0.1687,0.0772,0.1043,0.0623,-0.042,0.0776,0.1209,0.0433,0.1145,0.234,0.1195,0.1155,0.4133,0.2978,0.0936,0.1485,0.0549,0.0781,0.1694,0.0913,0.1034,0.142,0.0386,0.0728,0.1656,0.0928,0.1166,0.2033,0.0867,0.0886
0.0797,0.1371,0.0574,0.0979,0.0952,-0.0027,0.071,0.1058,0.0348,0.1229,0.2803,0.1574,0.0897,0.4295,0.3398,0.1039,0.1443,0.0404,0.0773,0.1515,0.0742,0.1085,0.1053,-0.0032,0.0919,0.1573,0.0654,0.0871,0.1883,0.1012,0.0936
0.1084,0.1598,0.0514,0.0998,0.0702,-0.0296,0.0789,0.1193,0.0404,0.1208,0.2761,0.1553,0.1082,0.4401,0.3319,0.1129,0.1483,0.0354,0.0905,0.16,0.0695,0.0958,0.1294,0.0336,0.091,0.1659,0.0749,0.1121,0.4517,0.3396,0.1013
0.0966,0.1954,0.0988,0.0863,0.0844,-0.0019,0.0908,0.0972,0.0064,0.1147,0.2616,0.1469,0.1063,0.4352,0.3289,0.0757,0.1457,0.07,0.0831,0.1446,0.0615,0.0876,0.1154,0.0278,0.0929,0.1892,0.0963,0.1237,0.251,0.1273,0.0923
0.0863,0.173,0.0867,0.0966,0.0802,-0.0164,0.0652,0.1138,0.0486,0.1211,0.2622,0.1411,0.0868,0.3865,0.2997,0.0747,0.1684,0.0937,0.0707,0.1502,0.0795,0.0963,0.1341,0.0378,0.0794,0.1851,0.1057,0.0905,0.2054,0.1149,0.096
0.1092,0.2389,0.1297,0.0902,0.1026,0.0124,0.0604,0.1055,0.0451,0.125,0.2743,0.1493,0.0939,0.3957,0.3018,0.1026,0.1757,0.0731,0.0876,0.142,0.0544,0.1079,0.1243,0.0164,0.0918,0.1859,0.0941,0.1084,0.2235,0.1151,0.0944
0.1031,0.1798,0.0767,0.0927,0.0913,-0.0014,0.0689,0.1006,0.0317,0.1422,0.3373,0.1951,0.0852,0.3922,0.307,0.0886,0.1515,0.0629,0.0681,0.1597,0.0916,0.0976,0.119,0.0214,0.0878,0.2036,0.1158,0.1024,0.2086,0.1062,0.1068
0.0981,0.1468,0.0487,0.0929,0.0945,0.0016,0.0781,0.0961,0.018,0.1211,0.3389,0.2178,0.0873,0.4049,0.3176,0.0836,0.1457,0.0621,0.0768,0.1357,0.0589,0.1174,0.1161,-0.0013,0.1042,0.1936,0.0894,0.1,0.2014,0.1014,0.0952
0.1068,0.1787,0.0719,0.0847,0.0992,0.0145,0.0726,0.1185,0.0459,0.1111,0.2651,0.154,0.0995,0.4139,0.3144,0.1084,0.1573,0.0489,0.0863,0.1449,0.0586,0.1116,0.1,-0.0116,0.0963,0.1765,0.0802,0.1,0.2049,0.1049,0.1005
0.0702,0.135,0.0648,0.0887,0.0805,-0.0082,0.0797,0.1045,0.0248,0.1171,0.283,0.1659,0.0889,0.3828,0.2939,0.1058,0.1335,0.0277,0.0791,0.1752,0.0961,0.0881,0.0998,0.0117,0.1324,0.201,0.0686,0.1087,0.2207,0.112,0.1024
0.0987,0.1474,0.0487,0.0995,0.0926,-0.0069,0.0671,0.1249,0.0578,0.1493,0.3618,0.2125,0.1034,0.4081,0.3047,0.1031,0.162,0.0589,0.0876,0.1816,0.094,0.1031,0.1137,0.0106,0.0907,0.2007,0.11,0.0926,0.284,0.1914,0.096
0.1008,0.1748,0.074,0.0958,0.077,-0.0188,0.0898,0.122,0.0322,0.124,0.2619,0.1379,0.0913,0.4368,0.3455,0.1045,0.1489,0.0444,0.0889,0.1491,0.0602,0.1068,0.115,0.0082,0.0907,0.1627,0.072,0.1016,0.482,0.3804,0.0944
0.0976,0.1751,0.0775,0.1037,0.082,-0.0217,0.0763,0.1227,0.0464,0.1345,0.3863,0.2518,0.1029,0.3994,0.2965,0.0894,0.1348,0.0454,0.0781,0.1581,0.08,0.109,0.1029,-0.0061,0.1019,0.1739,0.072,0.1013,0.2238,0.1225,0.0876
0.0873,0.1424,0.0551,0.0884,0.0979,0.0095,0.0802,0.099,0.0188,0.1369,0.3368,0.1999,0.0818,0.4525,0.3707,0.0905,0.1364,0.0459,0.0762,0.1994,0.1232,0.1118,0.11,-0.0018,0.0739,0.1448,0.0709,0.1053,0.2152,0.1099,0.1079
0.1002,0.1568,0.0566,0.1024,0.0863,-0.0161,0.0921,0.1291,0.037,0.1353,0.3336,0.1983,0.1031,0.8015,0.6984,0.1208,0.2554,0.1346,0.095,0.1449,0.0499,0.1087,0.1246,0.0159,0.0934,0.1701,0.0767,0.0992,0.203,0.1038,0.1016
0.0863,0.1785,0.0922,0.0884,0.0932,0.0048,0.0884,0.1079,0.0195,0.1132,0.3094,0.1962,0.1084,0.5552,0.4468,0.1456,0.2617,0.1161,0.0839,0.1338,0.0499,0.1134,0.1264,0.013,0.0942,0.1406,0.0464,0.1087,0.2391,0.1304,0.0915
