H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
0.0536,0.5546,0.501,0.028,0.5626,0.5346,0.0459,0.4792,0.4333,0.0483,0.1854,0.1371,0.0372,0.6412,0.604,0.0438,0.6267,0.5829,0.0404,0.2773,0.2369,0.0512,0.4613,0.4101,0.0383,0.5944,0.5561,0.0422,1.138,1.0958,0.0488
0.0528,0.8523,0.7995,0.0604,0.2213,0.1609,0.0438,0.4135,0.3697,0.0559,0.284,0.2281,0.0541,0.6488,0.5947,0.0422,0.6839,0.6417,0.0462,0.3496,0.3034,0.0533,0.4038,0.3505,0.0393,0.6013,0.562,0.0499,0.7953,0.7454,0.0541
0.0583,0.5197,0.4614,0.0583,0.2738,0.2155,0.0435,0.5277,0.4842,0.0433,0.7374,0.6941,0.0493,0.753,0.7037,0.0346,0.6322,0.5976,0.0412,0.2697,0.2285,0.0512,0.3231,0.2719,0.042,0.8621,0.8201,0.0388,0.9258,0.887,0.0536
0.0551,0.5658,0.5107,0.0612,0.2081,0.1469,0.0449,0.6282,0.5833,0.047,0.6095,0.5625,0.0504,0.574,0.5236,0.038,0.6533,0.6153,0.0443,0.4276,0.3833,0.0617,0.1783,0.1166,0.0422,0.5301,0.4879,0.0375,0.6895,0.652,0.0464
0.0428,0.6999,0.6571,0.062,0.2234,0.1614,0.0554,0.3851,0.3297,0.0525,0.326,0.2735,0.0483,0.6048,0.5565,0.0428,0.656,0.6132,0.0446,0.4439,0.3993,0.0631,0.2219,0.1588,0.0449,0.7495,0.7046,0.0433,0.8272,0.7839,0.0459
0.0433,0.5801,0.5368,0.0623,0.1981,0.1358,0.0446,0.4523,0.4077,0.0586,0.3761,0.3175,0.0443,0.6024,0.5581,0.033,0.6647,0.6317,0.0438,0.3712,0.3274,0.0588,0.2535,0.1947,0.0417,0.6585,0.6168,0.0341,0.7592,0.7251,0.0422
0.043,0.6603,0.6173,0.0578,0.2543,0.1965,0.043,0.4829,0.4399,0.0501,0.9259,0.8758,0.0472,0.8107,0.7635,0.0475,0.681,0.6335,0.048,0.2796,0.2316,0.0581,0.3216,0.2635,0.0438,0.5733,0.5295,0.0441,0.5946,0.5505,0.0515
0.0454,0.4425,0.3971,0.0554,0.2537,0.1983,0.0483,0.3434,0.2951,0.0486,0.3345,0.2859,0.0512,0.5813,0.5301,0.0383,0.6079,0.5696,0.0422,0.1945,0.1523,0.0583,0.3516,0.2933,0.0338,0.548,0.5142,0.0385,0.6069,0.5684,0.0428
0.0459,0.4554,0.4095,0.0615,0.2153,0.1538,0.053,0.3581,0.3051,0.0525,0.4069,0.3544,0.0504,0.7599,0.7095,0.0388,0.7074,0.6686,0.0504,0.2193,0.1689,0.0581,0.4189,0.3608,0.0377,0.5654,0.5277,0.0441,1.0105,0.9664,0.0617
0.0428,1.0147,0.9719,0.0628,0.2073,0.1445,0.0515,0.4408,0.3893,0.0544,0.5792,0.5248,0.0467,0.6266,0.5799,0.0364,0.6614,0.625,0.053,0.2509,0.1979,0.0594,0.4031,0.3437,0.0425,0.5235,0.481,0.0457,1.0893,1.0436,0.0504
0.0401,1.069,1.0289,0.0791,0.1909,0.1118,0.0493,0.5604,0.5111,0.053,0.4106,0.3576,0.0559,0.6377,0.5818,0.0327,0.6166,0.5839,0.0443,0.1828,0.1385,0.0554,0.3896,0.3342,0.0364,0.5419,0.5055,0.0367,1.1228,1.0861,0.0533
0.048,0.698,0.65,0.0607,0.1823,0.1216,0.053,0.5902,0.5372,0.0486,0.3519,0.3033,0.0562,0.8769,0.8207,0.042,0.6921,0.6501,0.0459,0.2939,0.248,0.0525,0.3221,0.2696,0.0459,0.5678,0.5219,0.0522,1.258,1.2058,0.0464
0.0375,1.087,1.0495,0.0591,0.1599,0.1008,0.0391,0.5921,0.553,0.0438,0.346,0.3022,0.0581,0.7396,0.6815,0.0354,0.7219,0.6865,0.0504,0.2963,0.2459,0.0554,0.3239,0.2685,0.0449,0.7434,0.6985,0.0333,0.823,0.7897,0.0533
0.0364,0.9039,0.8675,0.0575,0.2189,0.1614,0.0451,0.4723,0.4272,0.0459,0.4792,0.4333,0.0607,0.5494,0.4887,0.0399,0.6322,0.5923,0.0438,0.2077,0.1639,0.0507,0.354,0.3033,0.0417,0.64,0.5983,0.0435,0.8052,0.7617,0.0525
0.0459,0.5202,0.4743,0.0588,0.2574,0.1986,0.0467,0.3698,0.3231,0.0504,0.2371,0.1867,0.0399,0.5961,0.5562,0.0362,0.5925,0.5563,0.038,0.2274,0.1894,0.0689,0.2979,0.229,0.0356,0.4873,0.4517,0.0356,0.7238,0.6882,0.0554
