H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
0.0831,0.1123,0.0292,0.0799,0.1596,0.0797,0.0644,0.0824,0.018,0.0739,0.6303,0.5564,0.0781,0.3369,0.2588,0.0934,0.1794,0.086,0.0686,0.0914,0.0228,0.0828,0.1264,0.0436,0.0562,0.1633,0.1071,0.0797,0.227,0.1473,0.0549
0.0646,0.2599,0.1953,0.0926,0.1928,0.1002,0.0686,0.0966,0.028,0.1034,0.4444,0.341,0.1045,0.2662,0.1617,0.1,0.1836,0.0836,0.0715,0.0927,0.0212,0.0979,0.1381,0.0402,0.0681,0.1543,0.0862,0.0884,0.2133,0.1249,0.0762
0.0818,0.2679,0.1861,0.0807,0.2121,0.1314,0.0689,0.0863,0.0174,0.0902,0.2268,0.1366,0.0559,0.263,0.2071,0.1071,0.1915,0.0844,0.0718,0.1128,0.041,0.0905,0.1341,0.0436,0.0578,0.143,0.0852,0.0765,0.1964,0.1199,0.0733
0.0628,0.2948,0.232,0.0871,0.2069,0.1198,0.0691,0.1071,0.038,0.0868,0.307,0.2202,0.072,0.2509,0.1789,0.0855,0.1894,0.1039,0.0694,0.0935,0.0241,0.0987,0.1431,0.0444,0.061,0.1515,0.0905,0.0826,0.5002,0.4176,0.0805
0.0849,0.2415,0.1566,0.0907,0.1999,0.1092,0.0781,0.1346,0.0565,0.0406,0.2524,0.2118,0.0826,0.2742,0.1916,0.0884,0.2097,0.1213,0.0836,0.1022,0.0186,0.0947,0.1396,0.0449,0.0657,0.1451,0.0794,0.0828,0.1877,0.1049,0.0952
0.0944,0.2043,0.1099,0.0813,0.1686,0.0873,0.0765,0.1095,0.033,0.0675,0.2234,0.1559,0.0636,0.2538,0.1902,0.0966,0.2048,0.1082,0.0787,0.0766,-0.0021,0.1016,0.1578,0.0562,0.0646,0.1524,0.0878,0.0915,0.2098,0.1183,0.0955
0.0871,0.2334,0.1463,0.0944,0.2047,0.1103,0.071,0.1151,0.0441,0.1097,0.2347,0.125,0.0673,0.2657,0.1984,0.0807,0.1799,0.0992,0.0594,0.0653,0.0059,0.1103,0.1642,0.0539,0.0683,0.1511,0.0828,0.0807,0.194,0.1133,0.0802
0.0802,0.2006,0.1204,0.0849,0.1938,0.1089,0.0781,0.0889,0.0108,0.09,0.3908,0.3008,0.0496,1.1891,1.1395,0.0868,0.1936,0.1068,0.0538,0.0819,0.0281,0.1055,0.1362,0.0307,0.0625,0.1593,0.0968,0.0747,0.1925,0.1178,0.0786
0.0813,0.0952,0.0139,0.0902,0.2036,0.1134,0.0676,0.0594,-0.0082,0.105,0.3057,0.2007,0.0934,0.2548,0.1614,0.119,0.2364,0.1174,0.0662,0.1607,0.0945,0.0122,0.0471,0.0349,0.0839,0.1854,0.1015,0.0726,0.2009,0.1283,0.0826
0.1087,0.1622,0.0535,0.1274,0.2005,0.0731,0.0842,0.0699,-0.0143,0.0763,0.2311,0.1548,0.0736,0.2438,0.1702,0.0958,0.1673,0.0715,0.0723,0.0613,-0.011,0.106,0.1361,0.0301,0.0755,0.1715,0.096,0.0818,0.2608,0.179,0.0736
0.0849,0.1574,0.0725,0.1253,0.1704,0.0451,0.0781,0.077,-0.0011,0.1169,0.3985,0.2816,0.0886,0.3571,0.2685,0.07,0.1731,0.1031,0.0807,0.1045,0.0238,0.0736,0.1077,0.0341,0.0602,0.1572,0.097,0.0871,0.226,0.1389,0.0741
0.0931,0.3153,0.2222,0.1018,0.1385,0.0367,0.0757,0.0836,0.0079,0.1103,0.277,0.1667,0.0375,0.4538,0.4163,0.1019,0.2275,0.1256,0.0517,0.3986,0.3469,0.0942,0.0726,-0.0216,0.0581,0.1557,0.0976,0.0834,0.246,0.1626,0.0762
0.0984,0.1392,0.0408,0.1169,0.2045,0.0876,0.0821,0.0649,-0.0172,0.085,0.2456,0.1606,0.0702,0.2193,0.1491,0.1085,0.195,0.0865,0.0525,0.0729,0.0204,0.1053,0.1534,0.0481,0.0559,0.1514,0.0955,0.0918,0.2011,0.1093,0.0823
0.0857,0.1357,0.05,0.1029,0.1736,0.0707,0.072,0.076,0.004,0.0868,0.3054,0.2186,0.0691,0.2414,0.1723,0.1002,0.192,0.0918,0.0546,0.0655,0.0109,0.0726,0.1215,0.0489,0.0683,0.1537,0.0854,0.1024,0.2067,0.1043,0.0926
0.0813,0.1134,0.0321,0.1034,0.2828,0.1794,0.0884,0.0704,-0.018,0.09,0.3237,0.2337,0.0106,0.8933,0.8827,0.119,0.1873,0.0683,0.0865,0.1059,0.0194,0.1124,0.1217,0.0093,0.0765,0.1588,0.0823,0.1053,0.2141,0.1088,0.0815
0.1021,0.1192,0.0171,0.0913,0.2163,0.125,0.0689,0.0678,-0.0011,0.0686,0.245,0.1764,0.081,0.2293,0.1483,0.0992,0.1731,0.0739,0.0678,0.075,0.0072,0.0762,0.114,0.0378,0.0591,0.1456,0.0865,0.1013,0.2257,0.1244,0.0665
0.1074,0.153,0.0456,0.1082,0.2274,0.1192,0.0903,0.0594,-0.0309,0.1201,0.3891,0.269,0.0997,0.2841,0.1844,0.1052,0.3093,0.2041,0.0884,0.1834,0.095,0.1118,0.1169,0.0051,0.0591,0.1672,0.1081,0.0989,0.222,0.1231,0.0786
0.1039,0.2091,0.1052,0.0894,0.1749,0.0855,0.0869,0.0623,-0.0246,0.0863,0.494,0.4077,0.0902,0.2955,0.2053,0.0943,0.175,0.0807,0.0784,0.0843,0.0059,0.0683,0.1266,0.0583,0.0789,0.1836,0.1047,0.0871,0.2128,0.1257,0.0715
0.0923,0.2151,0.1228,0.0918,0.1818,0.09,0.0791,0.0823,0.0032,0.0963,0.2197,0.1234,0.0678,0.3831,0.3153,0.1072,0.184,0.0768,0.0755,0.0877,0.0122,0.0947,0.0995,0.0048,0.0857,0.1714,0.0857,0.0752,0.2006,0.1254,0.0768
0.1063,0.1136,0.0073,0.1195,0.2342,0.1147,0.0963,0.1053,0.009,0.1108,0.5327,0.4219,0.0863,0.3214,0.2351,0.1111,0.1937,0.0826,0.0781,0.0829,0.0048,0.0702,0.1172,0.047,0.0773,0.1899,0.1126,0.0907,0.2393,0.1486,0.0836
0.1111,0.1458,0.0347,0.1285,0.2519,0.1234,0.0797,0.1093,0.0296,0.1287,0.7898,0.6611,0.106,0.3608,0.2548,0.123,0.1985,0.0755,0.0799,0.1602,0.0803,0.005,0.0481,0.0431,0.0726,0.2221,0.1495,0.076,0.2708,0.1948,0.0831
0.1058,0.1669,0.0611,0.0855,0.2118,0.1263,0.076,0.085,0.009,0.0926,0.3405,0.2479,0.0691,0.883,0.8139,0.1148,0.2372,0.1224,0.0697,0.1014,0.0317,0.1074,0.1093,0.0019,0.0744,0.1862,0.1118,0.0707,0.2684,0.1977,0.0755
0.1066,0.1442,0.0376,0.0855,0.2148,0.1293,0.0731,0.1024,0.0293,0.0694,0.5799,0.5105,0.0707,0.2449,0.1742,0.0907,0.3805,0.2898,0.0868,0.2119,0.1251,0.0668,0.1188,0.052,0.077,0.1809,0.1039,0.0818,0.2531,0.1713,0.0657
0.0768,0.1756,0.0988,0.09,0.1757,0.0857,0.0732,0.0639,-0.0093,0.0824,0.2522,0.1698,0.082,0.2142,0.1322,0.1177,0.215,0.0973,0.0881,0.109,0.0209,0.0897,0.1185,0.0288,0.0691,0.1859,0.1168,0.0673,0.208,0.1407,0.082
0.1145,0.2257,0.1112,0.0852,0.1839,0.0987,0.0733,0.091,0.0177,0.0958,0.4041,0.3083,0.0902,0.253,0.1628,0.1103,0.1934,0.0831,0.0702,0.0714,0.0012,0.0689,0.1122,0.0433,0.0652,0.5773,0.5121,0.0784,0.2756,0.1972,0.0997
0.109,0.0888,-0.0202,0.085,0.2214,0.1364,0.0797,0.0533,-0.0264,0.104,0.2941,0.1901,0.0799,0.2298,0.1499,0.1103,0.1873,0.077,0.0842,0.071,-0.0132,0.1022,0.1099,0.0077,0.0834,0.1654,0.082,0.1024,0.1978,0.0954,0.086
0.1053,0.0767,-0.0286,0.105,0.2092,0.1042,0.0755,0.1594,0.0839,0.0744,0.4452,0.3708,0.0631,0.2349,0.1718,0.1043,0.1906,0.0863,0.0686,0.0732,0.0046,0.0818,0.1019,0.0201,0.0802,0.1614,0.0812,0.0847,0.1874,0.1027,0.1082
0.0998,0.0635,-0.0363,0.1233,0.193,0.0697,0.0928,0.0791,-0.0137,0.0899,0.2096,0.1197,0.0807,0.2256,0.1449,0.1066,0.1905,0.0839,0.0728,0.0544,-0.0184,0.0726,0.1244,0.0518,0.081,0.1493,0.0683,0.1045,0.1978,0.0933,0.0773
0.1005,0.1033,0.0028,0.1176,0.1656,0.048,0.0902,0.1156,0.0254,0.0588,0.2294,0.1706,0.0744,0.229,0.1546,0.1098,0.1834,0.0736,0.0691,0.1093,0.0402,0.0968,0.1145,0.0177,0.0652,0.1543,0.0891,0.0947,0.2038,0.1091,0.0752
0.1082,0.098,-0.0102,0.1117,0.1671,0.0554,0.0861,0.0549,-0.0312,0.0877,0.209,0.1213,0.0718,0.2228,0.151,0.1135,0.1771,0.0636,0.075,0.0336,-0.0414,0.1198,0.1515,0.0317,0.081,0.134,0.053,0.1008,0.2186,0.1178,0.0699
0.1161,0.1374,0.0213,0.1258,0.1715,0.0457,0.0652,0.0666,0.0014,0.0823,0.8913,0.809,0.0802,0.242,0.1618,0.1076,0.1757,0.0681,0.0842,0.1009,0.0167,0.0939,0.1119,0.018,0.0736,0.1556,0.082,0.0855,0.227,0.1415,0.0907
0.1124,0.1593,0.0469,0.1184,0.1741,0.0557,0.0894,0.0749,-0.0145,0.1092,0.2057,0.0965,0.0636,0.2169,0.1533,0.1021,0.1538,0.0517,0.0797,0.1178,0.0381,0.0747,0.066,-0.0087,0.0781,0.177,0.0989,0.0588,0.1753,0.1165,0.081
0.0842,0.2265,0.1423,0.1219,0.1902,0.0683,0.0451,0.1622,0.1171,0.0834,0.2883,0.2049,0.0823,0.2446,0.1623,0.0997,0.2321,0.1324,0.042,0.0827,0.0407,0.0966,0.1304,0.0338,0.0665,0.1614,0.0949,0.0834,0.2075,0.1241,0.0736
0.1034,0.1882,0.0848,0.1055,0.1575,0.052,0.0855,0.0836,-0.0019,0.0845,0.244,0.1595,0.0639,0.2267,0.1628,0.0958,0.266,0.1702,0.0459,0.0513,0.0054,0.1184,0.129,0.0106,0.0823,0.1751,0.0928,0.1132,0.2357,0.1225,0.0683
0.0747,0.264,0.1893,0.0765,0.1446,0.0681,0.0694,0.0462,-0.0232,0.1018,0.2787,0.1769,0.0673,0.2583,0.191,0.12,0.2055,0.0855,0.0863,0.1072,0.0209,0.0876,0.1019,0.0143,0.077,0.1709,0.0939,0.0942,0.2296,0.1354,0.0884
0.096,0.1028,0.0068,0.0691,0.5565,0.4874,0.0844,0.119,0.0346,0.091,0.2421,0.1511,0.0995,0.2979,0.1984,0.0971,0.2158,0.1187,0.0452,0.0286,-0.0166,0.0681,0.2688,0.2007,0.0802,0.2237,0.1435,0.101,0.223,0.122,0.0921
0.1095,0.1247,0.0152,0.1092,0.1707,0.0615,0.0844,0.1237,0.0393,0.0707,0.2482,0.1775,0.0678,0.3292,0.2614,0.1295,0.2384,0.1089,0.0815,0.1317,0.0502,0.0744,0.0913,0.0169,0.0575,0.1543,0.0968,0.1037,0.2315,0.1278,0.0581
0.1018,0.141,0.0392,0.1198,0.1594,0.0396,0.0979,0.0929,-0.005,0.071,0.2321,0.1611,0.0757,0.233,0.1573,0.1111,0.2003,0.0892,0.0791,0.0932,0.0141,0.1147,0.1179,0.0032,0.0842,0.171,0.0868,0.0926,0.222,0.1294,0.0697
0.0973,0.8825,0.7852,0.0907,0.1564,0.0657,0.0786,0.0902,0.0116,0.0857,0.1967,0.111,0.0849,0.2504,0.1655,0.1053,0.19,0.0847,0.061,0.1774,0.1164,0.1174,0.1401,0.0227,0.0544,0.1578,0.1034,0.1063,0.2423,0.136,0.0644
0.12,0.0951,-0.0249,0.1024,0.2264,0.124,0.0897,0.0911,0.0014,0.081,0.1823,0.1013,0.0789,0.2652,0.1863,0.1045,0.2053,0.1008,0.067,0.0974,0.0304,0.0681,0.1212,0.0531,0.0654,1.0991,1.0337,0.0876,0.1795,0.0919,0.1026
0.1124,0.1163,0.0039,0.0966,0.175,0.0784,0.1011,0.0863,-0.0148,0.0594,0.1694,0.11,0.0987,0.2966,0.1979,0.0911,0.2014,0.1103,0.0741,0.09,0.0159,0.1395,0.1129,-0.0266,0.0744,0.1891,0.1147,0.0968,0.2367,0.1399,0.0699
0.0649,0.1363,0.0714,0.076,0.2147,0.1387,0.0745,0.0726,-0.0019,0.0673,0.1694,0.1021,0.0942,0.6806,0.5864,0.1076,0.1828,0.0752,0.0815,0.1293,0.0478,0.0987,0.0876,-0.0111,0.0745,0.17,0.0955,0.0918,0.2294,0.1376,0.0731
0.0884,0.1123,0.0239,0.1111,0.147,0.0359,0.0707,0.0657,-0.005,0.1242,0.2405,0.1163,0.096,0.6006,0.5046,0.0773,0.1528,0.0755,0.0905,0.1629,0.0724,0.0673,0.0829,0.0156,0.0752,0.186,0.1108,0.0736,0.2304,0.1568,0.0673
0.0791,0.1384,0.0593,0.0857,0.197,0.1113,0.0792,0.0509,-0.0283,0.0689,0.2097,0.1408,0.0697,0.2428,0.1731,0.105,0.1952,0.0902,0.0501,0.0713,0.0212,0.0628,0.1417,0.0789,0.0691,0.169,0.0999,0.1,0.2708,0.1708,0.0707
0.0966,0.0833,-0.0133,0.1013,0.195,0.0937,0.0831,0.0744,-0.0087,0.0915,0.2376,0.1461,0.0736,0.5065,0.4329,0.0958,0.1765,0.0807,0.0559,0.1138,0.0579,0.0918,1.5878,1.496,0.1169,0.105,-0.0119,0.0802,0.2043,0.1241,0.1047
0.0995,0.6616,0.5621,0.0815,0.1232,0.0417,0.0997,0.0915,-0.0082,0.0947,0.6681,0.5734,0.0934,0.2984,0.205,0.1021,0.3079,0.2058,0.0541,0.1742,0.1201,0.067,0.1079,0.0409,0.0607,0.1546,0.0939,0.0857,0.2515,0.1658,0.0707
0.1021,0.1034,0.0013,0.0907,0.1604,0.0697,0.0913,0.0559,-0.0354,0.0958,0.1984,0.1026,0.1126,0.4329,0.3203,0.1143,0.2061,0.0918,0.0678,0.2522,0.1844,0.1253,0.18,0.0547,0.0617,0.8491,0.7874,0.0842,0.2655,0.1813,0.0923
0.1134,0.1861,0.0727,0.0868,0.1915,0.1047,0.0937,0.0546,-0.0391,0.0787,0.2216,0.1429,0.0797,0.3681,0.2884,0.1116,0.1897,0.0781,0.0765,0.0866,0.0101,0.1166,0.1407,0.0241,0.0755,0.1591,0.0836,0.0863,0.2268,0.1405,0.0646
0.1024,0.2152,0.1128,0.0907,0.1543,0.0636,0.0776,0.0765,-0.0011,0.0982,0.7379,0.6397,0.0855,0.2866,0.2011,0.0984,0.1889,0.0905,0.0765,0.1022,0.0257,0.0997,0.147,0.0473,0.0702,0.1773,0.1071,0.1045,0.269,0.1645,0.0686
0.0926,0.1115,0.0189,0.1002,0.177,0.0768,0.0939,0.0546,-0.0393,0.0908,0.2263,0.1355,0.0728,0.4616,0.3888,0.1005,0.216,0.1155,0.0478,0.2085,0.1607,0.1037,0.4334,0.3297,0.0836,0.2207,0.1371,0.0852,0.2151,0.1299,0.0768
